Periodo,TRM,Tasa,Flujos_Financieros,TRM_Var,Tasa_Var,Volatilidad_TRM,Volatilidad_Tasa,Score_Riesgo,Riesgo_Label,fecha,Prob_Crisis,Regimen,Alerta
2015-01-01,2397.2580645161293,4.5,-5.87,2.3483587490734648,0.0,4.06149900703618,0.0,1.624599602814472,2,2015-01,0.9911859662624003,1,ROJA
2015-02-01,2420.6725,4.5,-5.87,0.9767173518132166,0.0,4.881083752026266,0.0,1.9524335008105067,2,2015-02,0.9998284191873874,1,ROJA
2015-03-01,2585.362258064516,4.5,-5.87,6.80347126943095,0.0,3.0463226166477515,0.0,1.2185290466591008,2,2015-03,0.9899097591240538,1,ROJA
2015-04-01,2505.248,4.5,-5.87,-3.098763347945366,0.0,4.976860700082335,0.0,1.990744280032934,2,2015-04,0.9999372427121204,1,ROJA
2015-05-01,2437.5351612903223,4.5,-5.87,-2.702839747189812,0.0,5.606260712511896,0.0,2.2425042850047583,2,2015-05,0.999997762568771,1,ROJA
2015-06-01,2562.4776666666667,4.5,-5.87,5.125772434404818,0.0,4.638370996779752,0.0,1.855348398711901,2,2015-06,0.9998892271090576,1,ROJA
2015-07-01,2732.035806451613,4.5,-5.87,6.616960685769091,0.0,5.006154399020595,0.0,2.002461759608238,2,2015-07,0.9999094850120123,1,ROJA
2015-08-01,3012.5874193548384,4.5,-5.87,10.268958124220484,0.0,2.6461634722552234,0.0,1.0584653889020894,2,2015-08,0.9779885116613697,1,ROJA
2015-09-01,3066.4080000000004,4.525,-5.87,1.786523448228694,0.0250000000000003,4.254838563892883,0.0144337567296232,1.7062655525760402,2,2015-09,0.9987606693443032,1,ROJA
2015-10-01,2929.472258064516,4.75,-5.87,-4.465672602454863,0.2249999999999996,7.395392666385113,0.1233220715578914,2.995153688021413,2,2015-10,0.999999999890628,1,ROJA
2015-11-01,3001.376333333333,5.225,-5.87,2.454506099891307,0.4749999999999996,3.817176739238718,0.2254624876411357,1.594509441987828,2,2015-11,0.9990691004472431,1,ROJA
2015-12-01,3244.201612903226,5.588709677419355,-5.87,8.090464260448481,0.3637096774193553,6.289004565905969,0.1252503562934789,2.5531769332504317,2,2015-12,0.9999999378984568,1,ROJA
2016-01-01,3270.195161290322,5.75,-5.87,0.801230980334644,0.161290322580645,3.821654633367053,0.159045534790069,1.576375513783842,2,2016-01,0.9987964992884892,1,ROJA
2016-02-01,3354.956896551724,6.068965517241379,-5.87,2.59194730225083,0.318965517241379,3.798536461522237,0.1063305397448826,1.5513137465323596,2,2016-02,0.9985807390994794,1,ROJA
2016-03-01,3128.7890322580647,6.330645161290323,-5.87,-6.74130462081698,0.2616796440489439,4.953216121869133,0.0798134848083977,2.005231081190173,2,2016-03,0.9999658476928852,1,ROJA
2016-04-01,2997.727,6.5,-5.87,-4.188906024241479,0.169354838709677,4.823627644049851,0.0754860871055564,1.9520968837516075,2,2016-04,0.9988965746651749,1,ROJA
2016-05-01,2993.508387096774,6.991935483870968,-5.87,-0.1407270543056671,0.4919354838709679,3.328415934043393,0.1661324241309371,1.3812061008566383,2,2016-05,0.7694046475540182,1,ROJA
2016-06-01,2992.8586666666665,7.316666666666666,-4.72,-0.0217043130030347,0.3247311827956984,2.3723226834941915,0.1613264595121008,0.9973274832513068,2,2016-06,0.21528120038135723,0,VERDE
2016-07-01,2960.999677419355,7.5,-4.72,-1.0645002920500302,0.1833333333333335,0.5708103686334262,0.1544808064923056,0.2746683894010622,0,2016-07,0.022247410934894463,0,VERDE
