fecha,icds_agg,regimen,prob_crisis,alerta
2015-01,0.727,0,0.0007654266194529854,VERDE
2015-02,0.7115,0,5.480153544858698e-05,VERDE
2015-03,0.7216,0,2.1294119298594027e-05,VERDE
2015-04,0.7096,0,2.475918805259205e-05,VERDE
2015-05,0.7123,0,2.3444285376387304e-05,VERDE
2015-06,0.7301,0,1.7558502126987823e-05,VERDE
2015-07,0.7276,0,1.880648750364805e-05,VERDE
2015-08,0.7306,0,4.349793720208679e-05,VERDE
2015-09,0.6838,0,0.000870832154420308,VERDE
2015-10,0.6574,0,0.011288741701154716,VERDE
2015-11,0.6396,0,0.0753766312703223,VERDE
2015-12,0.6311,0,0.2939082983639277,VERDE
2016-01,0.5777,1,0.8412302997248102,ROJA
2016-02,0.5715,1,0.9736915043108993,ROJA
2016-03,0.5619,1,0.997135414936803,ROJA
2016-04,0.5632,1,0.9996350365809749,ROJA
2016-05,0.5413,1,0.9999697608576772,ROJA
2016-06,0.5377,1,0.9999849258673135,ROJA
2016-07,0.4985,1,0.9999987459429633,ROJA
2016-08,0.5476,1,0.9999717636031277,ROJA
2016-09,0.5621,1,0.9999387744238648,ROJA
2016-10,0.5397,1,0.9999814739155152,ROJA
2016-11,0.5392,1,0.9999791703925522,ROJA
2016-12,0.5728,1,0.999840661526201,ROJA
2017-01,0.5674,1,0.9996494541524614,ROJA
2017-02,0.5667,1,0.9982085894291284,ROJA
2017-03,0.5709,1,0.9876949492014967,ROJA
2017-04,0.5838,1,0.9264343986358466,ROJA
2017-05,0.592,1,0.7393569714792917,ROJA
2017-06,0.6336,0,0.3522054052443342,VERDE
2017-07,0.6368,0,0.21179413083214363,VERDE
2017-08,0.6239,0,0.16762916392997365,VERDE
2017-09,0.5991,1,0.14603309813783927,VERDE
2017-10,0.5992,1,0.11063637752621197,VERDE
2017-11,0.6188,0,0.05582581531450112,VERDE
2017-12,0.6309,0,0.020171824067094203,VERDE
2018-01,0.6353,0,0.005707811120899525,VERDE
2018-02,0.6754,0,0.0005710492482948186,VERDE
2018-03,0.7107,0,4.8103263423465566e-05,VERDE
2018-04,0.7008,0,3.027699742917542e-05,VERDE
2018-05,0.7718,0,1.1948642414925783e-05,VERDE
2018-06,0.7542,0,1.2910216486902152e-05,VERDE
2018-07,0.7827,0,1.1167986015565681e-05,VERDE
2018-08,0.7738,0,1.1420647627351797e-05,VERDE
2018-09,0.7733,0,1.1461305085107856e-05,VERDE
2018-10,0.7636,0,1.2069912882979264e-05,VERDE
2018-11,0.7543,0,1.2934219475303549e-05,VERDE
2018-12,0.7582,0,1.2536137564108574e-05,VERDE
2019-01,0.7689,0,1.1701831075485669e-05,VERDE
2019-02,0.776,0,1.1385650175027724e-05,VERDE
2019-03,0.7486,0,1.3650125727137783e-05,VERDE
2019-04,0.745,0,1.4150384291694534e-05,VERDE
2019-05,0.7771,0,1.1388517889198318e-05,VERDE
2019-06,0.7508,0,1.3311428355187484e-05,VERDE
2019-07,0.7677,0,1.1897581084422789e-05,VERDE
2019-08,0.7333,0,1.6312191688450475e-05,VERDE
2019-09,0.748,0,1.3840102004955436e-05,VERDE
2019-10,0.7492,0,1.3583527156137722e-05,VERDE
2019-11,0.7622,0,1.222457536091126e-05,VERDE
2019-12,0.7551,0,1.2834934619209453e-05,VERDE
2020-01,0.7729,0,1.1836012815932856e-05,VERDE
2020-02,0.7653,0,2.763764710556164e-05,VERDE
2020-03,0.6244,0,0.0007352657454329359,VERDE
2020-04,0.6119,0,0.0013279184199537506,VERDE
2020-05,0.6127,0,0.0011334249830964017,VERDE
2020-06,0.6678,0,0.00020042053729665694,VERDE
2020-07,0.6733,0,7.739774116660368e-05,VERDE
2020-08,0.684,0,4.9234932640003776e-05,VERDE
2020-09,0.6849,0,4.511320956535004e-05,VERDE
2020-10,0.6988,0,3.23299719214854e-05,VERDE
2020-11,0.7031,0,2.824883388918099e-05,VERDE
2020-12,0.7443,0,1.4723230425605737e-05,VERDE
2021-01,0.7425,0,1.4770279854976653e-05,VERDE
2021-02,0.7234,0,1.889856847641242e-05,VERDE
2021-03,0.8193,0,1.2565097287482914e-05,VERDE
2021-04,0.8625,0,2.038902810733033e-05,VERDE
2021-05,0.7889,0,1.1262785392319378e-05,VERDE
2021-06,0.7603,0,1.2341012556014579e-05,VERDE
2021-07,0.7527,0,1.3206372337629987e-05,VERDE
2021-08,0.7341,0,1.6101782156595446e-05,VERDE
2021-09,0.7982,0,1.124309995982226e-05,VERDE
2021-10,0.7658,0,1.1885780493189314e-05,VERDE
2021-11,0.7727,0,1.2012667001228012e-05,VERDE
2021-12,0.7126,0,3.657755158013739e-05,VERDE
2022-01,0.703,0,0.00035952862606380867,VERDE
2022-02,0.687,0,0.006765897729544443,VERDE
2022-03,0.67,0,0.09681868570217489,VERDE
2022-04,0.5622,1,0.907473481668609,ROJA
2022-05,0.5491,1,0.9953260491721441,ROJA
2022-06,0.513,1,0.9999699143946625,ROJA
2022-07,0.4764,1,0.9999997466091182,ROJA
2022-08,0.4532,1,0.9999999594205458,ROJA
2022-09,0.4111,1,0.9999999988311029,ROJA
2022-10,0.3372,2,0.9999999999991566,ROJA
2022-11,0.2687,2,0.9999999999999999,ROJA
2022-12,0.2655,2,1.0,ROJA
2023-01,0.2596,2,1.0000000000000002,ROJA
2023-02,0.2176,2,1.0000000000000002,ROJA
2023-03,0.2119,2,1.0000000000000002,ROJA
2023-04,0.1783,2,1.0000000000000002,ROJA
2023-05,0.1736,2,1.0000000000000002,ROJA
2023-06,0.2363,2,1.0000000000000002,ROJA
2023-07,0.2355,2,1.0000000000000002,ROJA
2023-08,0.2168,2,1.0000000000000002,ROJA
2023-09,0.2075,2,1.0000000000000002,ROJA
2023-10,0.2193,2,1.0000000000000002,ROJA
2023-11,0.2723,2,0.9999999999999998,ROJA
2023-12,0.2877,2,0.999999999999997,ROJA
2024-01,0.3167,2,0.9999999999999097,ROJA
2024-02,0.3274,2,0.9999999999997067,ROJA
2024-03,0.3122,2,0.9999999999999456,ROJA
2024-04,0.3616,2,0.9999999999894047,ROJA
2024-05,0.3464,2,0.9999999999977733,ROJA
2024-06,0.2692,2,0.9999999999999997,ROJA
2024-07,0.3092,2,0.9999999999999613,ROJA
2024-08,0.3436,2,0.9999999999983394,ROJA
2024-09,0.3327,2,0.999999999999479,ROJA
2024-10,0.3997,2,0.9999999995836116,ROJA
2024-11,0.3668,2,0.9999999999821573,ROJA
2024-12,0.3967,2,0.9999999996842375,ROJA
2025-01,0.4505,1,0.9999999672818844,ROJA
2025-02,0.4577,1,0.999999942060014,ROJA
2025-03,0.4979,1,0.9999988894482393,ROJA
2025-04,0.4497,1,0.9999999692467602,ROJA
2025-05,0.4543,1,0.9999999545344466,ROJA
2025-06,0.5375,1,0.9999856031762849,ROJA
2025-07,0.5349,1,0.9999876284515212,ROJA
2025-08,0.4607,1,0.9999999239074027,ROJA
2025-09,0.5308,1,0.9999905725266189,ROJA
2025-10,0.5029,1,0.9999983971329832,ROJA
2025-11,0.5187,1,0.9999955663052592,ROJA
2025-12,0.4942,1,0.9999991326882494,ROJA
2026-01,0.4819,1,0.9999996405671274,ROJA
2026-02,0.4887,1,0.9999994137942178,ROJA
2026-03,0.5016,1,0.9999982461973448,ROJA
2026-04,0.511,1,0.9998813848773473,ROJA
