trimestre,ciiu,macrosector,var_pib_pct,var_pib_norm,momentum,momentum_norm,icds,estado,estado_nombre,vulnerabilidad,color,macrosector_id,icds_original,icds_star,ajuste_mip
2015T3,G + H + I,"Comercio, transporte y turismo",3.4277,0.3900688593870874,3.2864,0.4517899448626071,0.4085851850297433,S3,Estabilidad,Moderada,#378ADD,M06,0.4085851850297433,0.3898,0.0188
2015T3,J,TIC y economía digital,4.1564,0.3961238654653596,1.2504666666666664,0.4237836936883339,0.4044218139322519,S3,Estabilidad,Moderada,#378ADD,M07,0.4044218139322519,0.3847,0.0197
2015T3,K,Financiero y seguros,8.4419,0.4317334833443709,9.411700000000002,0.5360494279749106,0.4630282667335328,S3,Estabilidad,Moderada,#378ADD,M08,0.4630282667335328,0.4509,0.0122
2015T3,L,Inmobiliario,3.1215,0.3875245436725726,3.0571,0.4486356994415418,0.4058578904032633,S3,Estabilidad,Moderada,#378ADD,M09,0.4058578904032633,0.4004,0.0054
2015T3,M + N,Servicios profesionales,1.0203,0.3700649872410294,1.0854,0.4215130404938121,0.3854994032168642,S4,Decrecimiento,Media,#BA7517,M10,0.3854994032168642,0.372,0.0135
2015T3,O + P + Q,"Gobierno, educación y salud",9.9809,0.4445215365273829,7.839366666666667,0.5144204475254776,0.4654912098268113,S3,Estabilidad,Moderada,#378ADD,M11,0.4654912098268113,0.4511,0.0144
2015T3,R + S + T,"Arte, recreación y otros servicios",4.2447,0.3968575789780692,3.7211666666666665,0.4577705849304883,0.4151314807637949,S3,Estabilidad,Moderada,#378ADD,M12,0.4151314807637949,0.3987,0.0164
2015T4,A,Agropecuario,4.2056,0.3965326843195534,4.24405,0.4649633557979894,0.4170618857630842,S3,Estabilidad,Moderada,#378ADD,M01,0.4170618857630842,0.4044,0.0127
2015T4,B,Minería y energía,-1.7353,0.3471678076756571,-1.0205000000000002,0.3925443294941549,0.3607807642212064,S4,Decrecimiento,Media,#BA7517,M02,0.3607807642212064,0.3393,0.0215
2015T4,C,Manufactura,3.8841,0.3938612359125759,1.956975,0.4335024057483475,0.4057535868633074,S3,Estabilidad,Moderada,#378ADD,M03,0.4057535868633074,0.3793,0.0265
2015T4,D + E,Electricidad y servicios públicos,0.3612,0.3645883102735679,-0.70245,0.3969194178333168,0.3742876425414926,S4,Decrecimiento,Media,#BA7517,M04,0.3742876425414926,0.3448,0.0295
2015T4,F,Construcción,7.9734,0.4278405639705949,6.34035,0.493800009422844,0.4476283976062696,S3,Estabilidad,Moderada,#378ADD,M05,0.4476283976062696,0.4276,0.02
2015T4,G + H + I,"Comercio, transporte y turismo",3.4599,0.3903364196941004,3.329775,0.4523866103451134,0.4089514768894043,S3,Estabilidad,Moderada,#378ADD,M06,0.4089514768894043,0.3897,0.0192
2015T4,J,TIC y economía digital,1.4359,0.373518343253284,1.296825,0.4244213978341903,0.3887892596275559,S4,Decrecimiento,Media,#BA7517,M07,0.3887892596275559,0.3659,0.0229
2015T4,K,Financiero y seguros,3.8367,0.3934673738457307,8.01795,0.5168770356695911,0.4304902723928888,S3,Estabilidad,Moderada,#378ADD,M08,0.4304902723928888,0.4143,0.0162
2015T4,L,Inmobiliario,3.594,0.3914507003515676,3.191325,0.4504820953928827,0.4091601188639621,S3,Estabilidad,Moderada,#378ADD,M09,0.4091601188639621,0.4034,0.0058
2015T4,M + N,Servicios profesionales,-3.4138,0.3332206034731322,-0.0394000000000001,0.4060403180794456,0.3550665178550262,S4,Decrecimiento,Media,#BA7517,M10,0.3550665178550262,0.3395,0.0155
2015T4,O + P + Q,"Gobierno, educación y salud",-1.1911,0.3516897430507026,5.58175,0.4833647256181335,0.3911922378209319,S4,Decrecimiento,Media,#BA7517,M11,0.3911922378209319,0.3715,0.0197
2015T4,R + S + T,"Arte, recreación y otros servicios",5.6867,0.4088396275095204,4.21255,0.4645300425369185,0.4255467520177398,S3,Estabilidad,Moderada,#378ADD,M12,0.4255467520177398,0.4091,0.0165
2016T1,A,Agropecuario,-0.6198,0.356436861168607,3.300525,0.4519842480312619,0.3851010772274035,S4,Decrecimiento,Media,#BA7517,M01,0.3851010772274035,0.3717,0.0134
2016T1,B,Minería y energía,-1.1503,0.3520287635639365,-0.6384000000000001,0.3978004881308276,0.3657602809340038,S4,Decrecimiento,Media,#BA7517,M02,0.3657602809340038,0.3448,0.021
2016T1,C,Manufactura,4.3339,0.397598770884453,2.86655,0.4460144981114765,0.41212348905256,S3,Estabilidad,Moderada,#378ADD,M03,0.41212348905256,0.3846,0.0275
2016T1,D + E,Electricidad y servicios públicos,1.1087,0.3707995316863695,-0.261225,0.4029888985830313,0.380456341755368,S4,Decrecimiento,Media,#BA7517,M04,0.380456341755368,0.3519,0.0286
2016T1,F,Construcción,8.6691,0.4336213622808103,7.051825,0.5035870428330159,0.454611066446472,S3,Estabilidad,Moderada,#378ADD,M05,0.454611066446472,0.4353,0.0193
2016T1,G + H + I,"Comercio, transporte y turismo",3.5761,0.3913019634107125,3.3252,0.4523236767524341,0.409608477413229,S3,Estabilidad,Moderada,#378ADD,M06,0.409608477413229,0.3902,0.0194
2016T1,J,TIC y economía digital,0.3367,0.3643847317791015,1.283975,0.4242446335356264,0.382342702306059,S4,Decrecimiento,Media,#BA7517,M07,0.382342702306059,0.3588,0.0235
2016T1,K,Financiero y seguros,2.277,0.3805073176082102,5.82975,0.4867762078005329,0.412387984665907,S3,Estabilidad,Moderada,#378ADD,M08,0.412387984665907,0.3945,0.0179
2016T1,L,Inmobiliario,3.4113,0.3899325864356895,3.3000000000000003,0.4519770261435773,0.4085459183480558,S3,Estabilidad,Moderada,#378ADD,M09,0.4085459183480558,0.4026,0.0059
2016T1,M + N,Servicios profesionales,-3.0933,0.335883742553805,-1.322175,0.3883944952708672,0.3516369683689236,S4,Decrecimiento,Media,#BA7517,M10,0.3516369683689236,0.3357,0.0159
2016T1,O + P + Q,"Gobierno, educación y salud",1.8565,0.3770132458970623,4.562474999999999,0.4693436026283545,0.4047123529164499,S3,Estabilidad,Moderada,#378ADD,M11,0.4047123529164499,0.3855,0.0192
2016T1,R + S + T,"Arte, recreación y otros servicios",5.9963,0.4114121949334713,5.1662,0.4776484295661332,0.4312830653232699,S3,Estabilidad,Moderada,#378ADD,M12,0.4312830653232699,0.415,0.0163
2016T2,A,Agropecuario,0.9729,0.3696711251741842,2.856975,0.4458827846360874,0.3925346230127552,S4,Decrecimiento,Media,#BA7517,M01,0.3925346230127552,0.38,0.0126
2016T2,B,Minería y energía,-5.0148,0.3199173720592255,-2.606675,0.3707249434027541,0.3351596434622841,S4,Decrecimiento,Media,#BA7517,M02,0.3351596434622841,0.3122,0.023
2016T2,C,Manufactura,6.0232,0.4116357158110692,4.12565,0.4633346481754245,0.4271453955203758,S3,Estabilidad,Moderada,#378ADD,M03,0.4271453955203758,0.4003,0.0268
2016T2,D + E,Electricidad y servicios públicos,-0.8801,0.3542739435314803,0.0567999999999999,0.4073636430227796,0.3702008533788701,S4,Decrecimiento,Media,#BA7517,M04,0.3702008533788701,0.3391,0.0311
2016T2,F,Construcción,2.5713,0.3829527523396985,5.25685,0.4788954088396593,0.4117355492896868,S3,Estabilidad,Moderada,#378ADD,M05,0.4117355492896868,0.3908,0.0209
2016T2,G + H + I,"Comercio, transporte y turismo",2.4786,0.3821824777912481,3.235575,0.4510907973548633,0.4028549736603326,S3,Estabilidad,Moderada,#378ADD,M06,0.4028549736603326,0.3832,0.0197
2016T2,J,TIC y economía digital,0.8419,0.3685826034282619,1.6927249999999998,0.4298673889471416,0.3869680390839258,S4,Decrecimiento,Media,#BA7517,M07,0.3869680390839258,0.3638,0.0232
2016T2,K,Financiero y seguros,1.4444,0.3735889725268744,4.0,0.4616062097229306,0.3999941436856913,S4,Decrecimiento,Media,#BA7517,M08,0.3999941436856913,0.381,0.019
2016T2,L,Inmobiliario,3.7893,0.3930735117788855,3.479025,0.4544396898439969,0.4114833651984189,S3,Estabilidad,Moderada,#378ADD,M09,0.4114833651984189,0.4049,0.0066
2016T2,M + N,Servicios profesionales,-2.293,0.3425336963954973,-1.94495,0.3798276169799648,0.3537218725708375,S4,Decrecimiento,Media,#BA7517,M10,0.3537218725708375,0.3378,0.0159
2016T2,O + P + Q,"Gobierno, educación y salud",4.6029,0.399833979660431,3.8123,0.4590242129260097,0.4175910496401046,S3,Estabilidad,Moderada,#378ADD,M11,0.4175910496401046,0.3987,0.0189
2016T2,R + S + T,"Arte, recreación y otros servicios",6.8704,0.4186753770564544,5.699525,0.4849848357553596,0.4385682146661259,S3,Estabilidad,Moderada,#378ADD,M12,0.4385682146661259,0.4225,0.0161
2016T3,A,Agropecuario,1.514,0.3741673016376851,1.5181749999999998,0.4274662832417472,0.3901569961189037,S4,Decrecimiento,Media,#BA7517,M01,0.3901569961189037,0.3757,0.0144
2016T3,B,Minería y energía,-1.1031,0.3524209637655208,-2.250875,0.3756193198563738,0.3593804705927766,S4,Decrecimiento,Media,#BA7517,M02,0.3593804705927766,0.3366,0.0228
2016T3,C,Manufactura,1.4084,0.3732898367799034,3.9124,0.4604011861778572,0.3994232415992895,S4,Decrecimiento,Media,#BA7517,M03,0.3994232415992895,0.3699,0.0295
2016T3,D + E,Electricidad y servicios públicos,-0.8245,0.3547359420740245,-0.058675,0.4057751716315999,0.370047710941297,S4,Decrecimiento,Media,#BA7517,M04,0.370047710941297,0.3388,0.0313
