fecha,macrosector_id,ipp_idx,ipp_var_anual
2019-03,M02,111.3,10.5044
2019-04,M02,116.53,12.1559
2019-05,M02,121.19,6.5688
2019-06,M02,111.34,-0.7842
2019-07,M02,109.33,-2.2618
2019-08,M02,105.46,-4.1969
2019-09,M02,109.38,-8.8576
2019-10,M02,106.61,-14.6574
2019-11,M02,108.78,-2.7534
2019-12,M02,112.07,9.7112
2020-01,M02,106.21,2.5292
2020-02,M02,96.8,-11.2415
2020-03,M02,73.88,-33.6208
2020-04,M02,56.02,-51.9265
2020-05,M02,64.86,-46.4807
2020-06,M02,79.0,-29.0462
2020-07,M02,87.24,-20.2049
2020-08,M02,91.15,-13.5691
2020-09,M02,86.8,-20.6436
2020-10,M02,88.15,-17.3154
2020-11,M02,89.71,-17.5308
2020-12,M02,92.15,-17.7746
2021-01,M02,99.84,-5.9976
2021-02,M02,111.4,15.0826
2021-03,M02,117.37,58.8657
2021-04,M02,116.26,107.533
2021-05,M02,124.27,91.5973
2021-06,M02,129.89,64.4177
2021-07,M02,135.54,55.3645
2021-08,M02,136.62,49.8848
2021-09,M02,141.9,63.4793
2021-10,M02,153.88,74.5661
2021-11,M02,162.16,80.7602
2021-12,M02,156.98,70.3527
2022-01,M02,166.28,66.5465
2022-02,M02,181.12,62.5853
2022-03,M02,210.53,79.3729
2022-04,M02,225.84,94.2543
2022-05,M02,236.73,90.4965
2022-06,M02,233.51,79.7752
2022-07,M02,238.44,75.9185
2022-08,M02,227.31,66.3812
2022-09,M02,219.04,54.3622
2022-10,M02,212.99,38.413
2022-11,M02,224.15,38.2277
2022-12,M02,202.82,29.2012
2023-01,M02,195.5,17.5728
2023-02,M02,189.45,4.5992
2023-03,M02,180.54,-14.245
2023-04,M02,176.49,-21.8518
2023-05,M02,163.53,-30.9213
2023-06,M02,147.63,-36.7779
2023-07,M02,149.83,-37.1624
2023-08,M02,155.84,-31.4416
2023-09,M02,163.7,-25.2648
2023-10,M02,170.89,-19.7662
2023-11,M02,153.77,-31.3986
2023-12,M02,142.27,-29.8541
2024-01,M02,140.33,-28.2199
2024-02,M02,144.37,-23.7952
2024-03,M02,143.55,-20.4885
2024-04,M02,153.61,-12.9639
2024-05,M02,140.04,-14.3643
2024-06,M02,148.53,0.6096
2024-07,M02,148.94,-0.594
2024-08,M02,144.13,-7.5141
2024-09,M02,142.63,-12.8711
2024-10,M02,147.7,-13.5701
2024-11,M02,147.74,-3.9214
2024-12,M02,147.31,3.5426
2025-01,M02,151.64,8.0596
2025-02,M02,140.72,-2.5282
2025-03,M02,135.71,-5.4615
2025-04,M02,132.86,-13.5082
2025-05,M02,128.8,-8.0263
2025-06,M02,134.61,-9.3718
2025-07,M02,134.01,-10.0242
2025-08,M02,134.23,-6.8688
2025-09,M02,130.46,-8.5326
2025-10,M02,123.76,-16.2085
2025-11,M02,118.67,-19.6765
2025-12,M02,117.21,-20.4331
2026-01,M02,117.64,-22.4215
2026-02,M02,120.99,-14.0208
2026-03,M02,150.76,11.0898
